feature,importance
topic_10,30.46%
sentiment_neu_content,14.85%
sentiment_neg_content,13.0%
readability_content,7.03%
topic_32,4.82%
topic_18,3.87%
topic_29,3.37%
topic_13,2.62%
topic_25,2.26%
topic_23,2.01%
topic_9,1.94%
topic_6,1.62%
topic_19,1.54%
topic_24,1.51%
topic_1,1.04%
topic_20,0.93%
topic_2,0.92%
topic_26,0.76%
content_word_count,0.7%
topic_15,0.7%
topic_22,0.67%
topic_3,0.66%
topic_33,0.49%
topic_16,0.42%
sentiment_comp_content,0.4%
topic_4,0.39%
sentiment_pos_content,0.24%
topic_30,0.23%
topic_8,0.12%
topic_7,0.12%
topic_31,0.12%
topic_12,0.09%
topic_21,0.07%
topic_34,0.02%
topic_11,0.01%
topic_17,0.01%
topic_0,0.0%
topic_27,0.0%
topic_5,0.0%
topic_14,0.0%
topic_28,0.0%
